Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Sam Howell,14.0,23.0,QB,17,17.0,220.0,6-1,North Carolina,9/16/00,1,11.0,Washington Commanders / 5th / 144th pick / 2022,HoweSa00
Khaleke Hudson,47.0,26.0,LB,17,8.0,220.0,6-1,Michigan,12/6/97,3,3.0,Washington Football Team / 5th / 162nd pick / 2020,HudsKh00
Andre Jones,50.0,25.0,DE,14,2.0,258.0,,Louisiana,10/25/98,Rook,1.0,Washington Commanders / 7th / 233rd pick / 2023,JoneAn02
Kyu Blu Kelly,36.0,22.0,CB,2,0.0,193.0,,Stanford,5/22/01,Rook,0.0,Baltimore Ravens / 5th / 157th pick / 2023,BluxKy00
Cornelius Lucas,78.0,32.0,T,17,4.0,327.0,6-8,Kansas St.,7/18/91,9,3.0,,LucaCo01
Quan Martin,20.0,23.0,DB,16,5.0,195.0,,Illinois,4/17/00,Rook,2.0,Washington Commanders / 2nd / 47th pick / 2023,MartJa04
Phidarian Mathis,98.0,25.0,DT,10,0.0,312.0,6-4,Alabama,4/26/98,1,1.0,Washington Commanders / 2nd / 47th pick / 2022,MathPh00
David Mayo,51.0,30.0,LB,17,5.0,240.0,6-2,Texas St.,8/18/93,8,3.0,Carolina Panthers / 5th / 169th pick / 2015,MayoDa00
Terry McLaurin,17.0,28.0,WR,17,17.0,210.0,6-1,Ohio St.,9/15/95,4,8.0,Washington Redskins / 3rd / 76th pick / 2019,McLaTe00
Chris Paul,75.0,25.0,G,10,7.0,324.0,6-4,Tulsa,11/19/98,1,3.0,Washington Commanders / 7th / 230th pick / 2022,PaulCh00
Daron Payne,94.0,26.0,DT,17,17.0,320.0,6-3,Alabama,5/27/97,5,7.0,Washington Redskins / 1st / 13th pick / 2018,PaynDa00
Benning Potoa'e,79.0,27.0,DT,1,0.0,290.0,6-3,Washington,9/17/96,3,0.0,,PotoBe00
Byron Pringle,3.0,30.0,WR,17,1.0,203.0,6-1,Kansas St.,11/17/93,4,1.0,,PrinBy00
Joshua Pryor,59.0,24.0,DE,7,0.0,280.0,6-4,Bowie St.,10/25/99,Rook,0.0,,PryoJo00
John Ridgeway,91.0,24.0,DT,17,2.0,321.0,6-5,Illinois St.Arkansas,5/7/99,1,2.0,Dallas Cowboys / 5th / 178th pick / 2022,RidgJo00
Brian Robinson Jr.,8.0,24.0,RB,15,15.0,228.0,6-1,Alabama,3/22/99,1,7.0,Washington Commanders / 3rd / 98th pick / 2022,RobiBr01
Curtis Samuel,4.0,27.0,WR,16,13.0,195.0,5-11,Ohio St.,8/11/96,6,5.0,Carolina Panthers / 2nd / 40th pick / 2017,SamuCu00
Trenton Scott,73.0,29.0,T,10,2.0,320.0,6-5,Grambling St.,1/25/94,5,1.0,,ScotTr01
Joey Slye,6.0,27.0,K,17,0.0,213.0,5-11,Virginia Tech,4/10/96,4,2.0,,SlyeJo00
James Smith-Williams,96.0,26.0,DE,13,7.0,265.0,6-4,North Carolina St.,7/30/97,3,3.0,Washington Football Team / 7th / 229th pick / 2020,SmitJa08
Benjamin St-Juste,25.0,26.0,CB,16,16.0,200.0,6-3,MichiganMinnesota,9/8/97,2,4.0,Washington Football Team / 3rd / 74th pick / 2021,StJuBe00
Logan Thomas,82.0,32.0,TE,16,15.0,250.0,6-6,Virginia Tech,7/1/91,9,4.0,Arizona Cardinals / 4th / 120th pick / 2014,ThomLo00
Mitchell Tinsley,86.0,24.0,WR,2,0.0,205.0,,Hutchinson (KS)Western KentuckyPenn St.,9/15/99,Rook,0.0,,TinsMi00
Casey Toohill,95.0,27.0,DE,16,8.0,254.0,6-5,Stanford,8/22/96,3,4.0,Philadelphia Eagles / 7th / 233rd pick / 2020,ToohCa00
Cole Turner,85.0,23.0,TE,12,1.0,240.0,6-6,Nevada,3/16/00,1,1.0,Washington Commanders / 5th / 149th pick / 2022,TurnCo00
Tress Way,5.0,33.0,P,17,0.0,220.0,6-1,Oklahoma,4/18/90,9,2.0,,WayxTr00
Nick Whiteside,37.0,23.0,CB,2,0.0,200.0,6-1,Saginaw Valley St.,5/1/00,Rook,0.0,,WhitNi02
Andrew Wylie,71.0,29.0,OL,15,15.0,309.0,6-6,Eastern Michigan,8/19/94,5,6.0,,WyliAn00
Shaka Toney (SUS),58.0,25.0,DE,0,0.0,238.0,6-2,Penn St.,1/7/98,2,,Washington Football Team / 7th / 246th pick / 2021,ToneSh00
Brandon Bouyer-Randle (NWT),46.0,26.0,LB,0,0.0,241.0,6-2,UConn,5/2/97,Rook,,,BouyBr00
Davion Davis (NWT),84.0,27.0,WR,0,0.0,195.0,5-11,Sam Houston St.,10/23/96,4,,,DaviDa03
D'Angelo Mandell (NWT),16.0,25.0,DB,0,0.0,192.0,6-1,BYU,12/27/98,Rook,,,MandDA01
Brycen Tremayne (NWT),89.0,24.0,WR,0,0.0,212.0,6-4,Stanford,11/18/99,Rook,,,TremBr00
David Bada (IR),64.0,28.0,DT,0,0.0,293.0,6-4,,5/24/95,1,,,BadaDa00
Curtis Brooks (IR),68.0,25.0,DT,0,0.0,287.0,6-2,Cincinnati,2/6/98,Rook,,Indianapolis Colts / 6th / 216th pick / 2022,BrooCu00
Percy Butler (IR),35.0,23.0,S,15,13.0,191.0,6-1,Louisiana,5/29/00,1,3.0,Washington Commanders / 4th / 113th pick / 2022,ButlPe00
Tariq Castro-Fields (IR),26.0,24.0,CB,8,1.0,197.0,6-1,Penn St.,1/14/99,1,1.0,San Francisco 49ers / 6th / 221st pick / 2022,CastTa00
Braeden Daniels (IR),79.0,23.0,OL,0,0.0,297.0,,Utah,8/22/00,Rook,,Washington Commanders / 4th / 118th pick / 2023,DaniBr00
Jamin Davis (IR),52.0,25.0,LB,13,13.0,234.0,6-4,Kentucky,12/12/98,2,5.0,Washington Football Team / 1st / 19th pick / 2021,DaviJa11
Darrick Forrest (IR),22.0,24.0,S,5,5.0,200.0,5-11,Cincinnati,5/22/99,2,1.0,Washington Football Team / 5th / 163rd pick / 2021,ForrDa00
Kendall Fuller (IR),29.0,28.0,CB,15,15.0,198.0,5-11,Virginia Tech,2/13/95,7,4.0,Washington Redskins / 3rd / 84th pick / 2016,FullKe00
Christian Holmes (IR),34.0,26.0,CB,13,0.0,205.0,6-1,MissouriOklahoma St.,9/14/97,1,1.0,Washington Commanders / 7th / 240th pick / 2022,HolmCh00
Tyler Larsen (IR),69.0,32.0,C,14,7.0,335.0,6-4,Utah St.,7/8/91,7,3.0,,LarsTy00
Charles Leno Jr. (IR),72.0,32.0,T,13,13.0,302.0,6-3,Boise St.,10/9/91,9,6.0,Chicago Bears / 7th / 246th pick / 2014,LenoCh00
Dax Milne (IR),15.0,24.0,WR,0,0.0,190.0,6-1,BYU,6/23/99,2,,Washington Football Team / 7th / 258th pick / 2021,MilnDa00
Efe Obada (IR),97.0,31.0,DE,5,0.0,265.0,6-6,,4/13/92,5,0.0,,ObadEf00
Jeremy Reaves (IR),39.0,27.0,S,5,0.0,200.0,5-11,South Alabama,8/29/96,5,0.0,,ReavJe00
Chris Rodriguez (IR),23.0,23.0,RB,13,0.0,224.0,,Kentucky,9/26/00,Rook,2.0,Washington Commanders / 6th / 193rd pick / 2023,RodrCh00
Armani Rogers (IR),88.0,26.0,TE,0,0.0,225.0,6-5,UNLVOhio,12/4/97,1,,,RogeAr00
Ricky Stromberg (IR),53.0,23.0,C,4,0.0,313.0,,Arkansas,11/10/00,Rook,0.0,Washington Commanders / 3rd / 97th pick / 2023,StroRi01
Team Total,,26.3,,17,,244.5,6-2.3,,,3.1,,,-9999
Reed Blankenship,32.0,24.0,S,15,15.0,203.0,6-1,Middle Tenn. St.,3/2/99,1,4.0,,BlanRe00
James Bradberry,24.0,30.0,CB,16,16.0,210.0,6-1,Arkansas St.Samford,8/4/93,7,4.0,Carolina Panthers / 2nd / 62nd pick / 2016,BradJa00
A.J. Brown,11.0,26.0,WR,17,17.0,226.0,6-1,Mississippi,6/30/97,4,15.0,Tennessee Titans / 2nd / 51st pick / 2019,BrowAJ00
Sydney Brown,21.0,23.0,S,14,6.0,211.0,,Illinois,3/21/00,Rook,2.0,Philadelphia Eagles / 3rd / 66th pick / 2023,BrowSy00
Kevin Byard,31.0,30.0,S,10,10.0,212.0,5-11,Middle Tenn. St.,8/17/93,7,3.0,Tennessee Titans / 3rd / 64th pick / 2016,ByarKe01
Grant Calcaterra,81.0,25.0,TE,15,1.0,240.0,6-4,OklahomaSMU,12/4/98,1,0.0,Philadelphia Eagles / 6th / 198th pick / 2022,CalcGr00
Jalen Carter,98.0,22.0,DT,16,1.0,314.0,,Georgia,4/4/01,Rook,2.0,Philadelphia Eagles / 1st / 9th pick / 2023,CartJa05
Britain Covey,18.0,26.0,WR,16,0.0,173.0,5-8,Utah,3/18/97,1,0.0,,CoveBr00
Fletcher Cox,91.0,33.0,DT,15,15.0,310.0,6-4,Mississippi St.,12/13/90,11,6.0,Philadelphia Eagles / 1st / 12th pick / 2012,CoxxFl00
Zach Cunningham,52.0,29.0,LB,13,10.0,238.0,6-3,Vanderbilt,12/2/94,6,4.0,Houston Texans / 2nd / 57th pick / 2017,CunnZa00
Jordan Davis,90.0,23.0,DT,17,17.0,336.0,6-6,Georgia,1/12/00,1,6.0,Philadelphia Eagles / 1st / 13th pick / 2022,DaviJo03
Landon Dickerson,69.0,25.0,G,16,16.0,333.0,6-6,Florida St.Alabama,9/30/98,2,9.0,Philadelphia Eagles / 2nd / 37th pick / 2021,DickLa00
Jack Driscoll,63.0,26.0,T,17,1.0,312.0,6-5,MassachusettsAuburn,4/1/97,3,2.0,Philadelphia Eagles / 4th / 145th pick / 2020,DrisJa00
Jake Elliott,4.0,28.0,K,17,0.0,167.0,5-9,Memphis,1/21/95,6,5.0,Cincinnati Bengals / 5th / 153rd pick / 2017,ElliJa03
Kenneth Gainwell,14.0,24.0,RB,16,2.0,200.0,5-9,Memphis,3/14/99,2,5.0,Philadelphia Eagles / 5th / 150th pick / 2021,GainKe00
Dallas Goedert,88.0,28.0,TE,14,14.0,256.0,6-5,South Dakota St.,1/3/95,5,6.0,Philadelphia Eagles / 2nd / 49th pick / 2018,GoedDa00
Brandon Graham,55.0,35.0,DE,17,0.0,265.0,6-2,Michigan,4/3/88,13,1.0,Philadelphia Eagles / 1st / 13th pick / 2010,GrahBr99
Jalen Hurts,1.0,25.0,QB,17,17.0,223.0,6-1,AlabamaOklahoma,8/7/98,3,18.0,Philadelphia Eagles / 2nd / 53rd pick / 2020,HurtJa00
Josh Jobe,28.0,25.0,CB,17,3.0,190.0,,Alabama,4/9/98,1,1.0,,JobeJo00
Fred Johnson,74.0,26.0,T,17,0.0,326.0,6-7,Florida,6/5/97,4,1.0,,JohnFr01
Lane Johnson,65.0,33.0,T,16,16.0,325.0,6-6,Oklahoma,5/8/90,10,13.0,Philadelphia Eagles / 1st / 4th pick / 2013,JohnLa01
Patrick Johnson,48.0,25.0,LB,15,0.0,248.0,6-2,Tulane,1/10/98,2,1.0,Philadelphia Eagles / 7th / 234th pick / 2021,JohnPa02
Julio Jones,80.0,34.0,WR,11,4.0,220.0,6-3,Alabama,2/8/89,12,1.0,Atlanta Falcons / 1st / 6th pick / 2011,JoneJu02
Cam Jurgens,51.0,24.0,OL,11,11.0,303.0,6-3,Nebraska,8/21/99,1,5.0,Philadelphia Eagles / 2nd / 51st pick / 2022,JurgCa01
Shaquille Leonard,50.0,28.0,LB,5,3.0,230.0,6-2,South Carolina St.,7/27/95,5,1.0,Indianapolis Colts / 2nd / 36th pick / 2018,LeonDa00
Rick Lovato,45.0,31.0,LS,17,0.0,249.0,6-2,Old Dominion,9/9/92,8,1.0,,LovaRi00
Avonte Maddox,29.0,27.0,CB,4,2.0,184.0,5-9,Pittsburgh,3/31/96,5,1.0,Philadelphia Eagles / 4th / 125th pick / 2018,MaddAv00
Jordan Mailata,68.0,26.0,T,17,17.0,365.0,6-8,,3/31/97,3,9.0,Philadelphia Eagles / 7th / 233rd pick / 2018,MailJo00
Braden Mann,10.0,26.0,P,15,0.0,198.0,5-11,Texas A&M,11/24/97,3,2.0,New York Jets / 6th / 191st pick / 2020,MannBr01
Marcus Mariota,8.0,30.0,QB,3,0.0,222.0,6-4,Oregon,10/30/93,8,1.0,Tennessee Titans / 1st / 2nd pick / 2015,MariMa01
Tanner McKee,19.0,23.0,QB,0,0.0,231.0,,Stanford,4/27/00,Rook,,Philadelphia Eagles / 6th / 188th pick / 2023,McKeTa01
Nicholas Morrow,41.0,28.0,LB,15,12.0,216.0,6-1,Greenville,7/10/95,6,5.0,,MorrNi00
Moro Ojomo,72.0,22.0,DT,8,0.0,292.0,,Texas,8/15/01,Rook,0.0,Philadelphia Eagles / 7th / 249th pick / 2023,OjomMo00
Sua Opeta,78.0,27.0,G,13,6.0,305.0,6-4,Weber St.,8/15/96,3,3.0,,OpetIo00
Rashaad Penny,23.0,27.0,RB,3,0.0,220.0,5-11,San Diego St.,2/2/96,5,0.0,Seattle Seahawks / 1st / 27th pick / 2018,PennRa00
Haason Reddick,7.0,29.0,OLB,17,17.0,240.0,6-1,Temple,9/22/94,6,8.0,Arizona Cardinals / 1st / 13th pick / 2017,ReddHa00
Eli Ricks,39.0,22.0,CB,16,0.0,188.0,,LSUAlabama,9/26/01,Rook,1.0,,RickEl00
Kelee Ringo,22.0,21.0,CB,17,4.0,207.0,,Georgia,6/27/02,Rook,2.0,Philadelphia Eagles / 4th / 105th pick / 2023,RingKe00
Bradley Roby,33.0,31.0,CB,9,2.0,194.0,5-11,Ohio St.,5/1/92,9,1.0,Denver Broncos / 1st / 31st pick / 2014,RobyBr00
Boston Scott,35.0,28.0,RB,15,0.0,203.0,5-6,Louisiana Tech,4/27/95,5,1.0,New Orleans Saints / 6th / 201st pick / 2018,ScotBo02
Darius Slay,2.0,32.0,CB,12,12.0,190.0,6-1,Mississippi St.,1/1/91,10,6.0,Detroit Lions / 2nd / 36th pick / 2013,SlayDa00
DeVonta Smith,6.0,25.0,WR,16,16.0,170.0,6-1,Alabama,11/14/98,2,11.0,Philadelphia Eagles / 1st / 10th pick / 2021,SmitDe07
Nolan Smith,3.0,22.0,LB,17,0.0,238.0,6-2,Georgia,1/18/01,Rook,1.0,Philadelphia Eagles / 1st / 30th pick / 2023,SmitNo02
Tyler Steen,56.0,23.0,T,11,1.0,321.0,6-6,VanderbiltAlabama,6/24/00,Rook,1.0,Philadelphia Eagles / 3rd / 65th pick / 2023,SteeTy00
Jack Stoll,89.0,25.0,TE,17,10.0,247.0,6-4,Nebraska,1/28/98,2,0.0,,StolJa00
Josh Sweat,94.0,26.0,DE,17,17.0,265.0,6-5,Florida St.,3/29/97,5,6.0,Philadelphia Eagles / 4th / 130th pick / 2018,SweaJo00
D'Andre Swift,0.0,24.0,RB,16,15.0,215.0,5-9,Georgia,1/14/99,3,10.0,Detroit Lions / 2nd / 35th pick / 2020,SwifDA00
Marlon Tuipulotu,95.0,24.0,DT,14,0.0,307.0,6-2,USC,5/31/99,2,1.0,Philadelphia Eagles / 6th / 189th pick / 2021,TuipMa00
Ben VanSumeren,57.0,23.0,LB,9,1.0,231.0,6-2,MichiganMichigan St.,5/5/00,Rook,1.0,,VanSBe00
Quez Watkins,16.0,25.0,WR,9,5.0,193.0,6-1,Southern Miss,6/9/98,3,1.0,Philadelphia Eagles / 6th / 200th pick / 2020,WatkQu00
Milton Williams,93.0,24.0,DT,16,10.0,290.0,6-3,Louisiana Tech,4/6/99,2,4.0,Philadelphia Eagles / 3rd / 73rd pick / 2021,WillMi08
Olamide Zaccheaus,13.0,26.0,WR,17,1.0,193.0,5-8,Virginia,7/23/97,4,2.0,,ZaccOl01
Isaiah Rodgers (SUS),,25.0,CB,0,0.0,170.0,5-10,Massachusetts,1/7/98,3,,Indianapolis Colts / 6th / 211th pick / 2020,RodgIs00
Thomas Booker (NWT),59.0,24.0,DT,0,0.0,301.0,6-3,Stanford,11/11/99,1,,Houston Texans / 5th / 150th pick / 2022,BookTh00
Le'Raven Clark (NWT),,30.0,T,0,0.0,319.0,6-5,Texas Tech,4/22/93,7,,Indianapolis Colts / 3rd / 82nd pick / 2016,ClarLe01
Shaq Davis (NWT),,23.0,WR,0,0.0,215.0,6-5,South Carolina State,2/8/00,Rook,,,DaviSh04
Noah Elliss (NWT),,,DT,0,0.0,347.0,,Idaho,,Rook,,,ElliNo00
Mekhi Garner (NWT),43.0,23.0,CB,3,0.0,212.0,,NavarroLouisianaLSU,1/11/00,Rook,0.0,,GarnMe00
Mario Goodrich (NWT),31.0,23.0,CB,4,1.0,186.0,,Clemson,1/12/00,Rook,0.0,,GoodMa02
Jacob Harris (NWT),,26.0,WR,0,0.0,211.0,6-5,Western KentuckyCentral Florida,4/16/97,2,,Los Angeles Rams / 4th / 141st pick / 2021,HarrJa03
Griffin Hebert (NWT),87.0,24.0,WR,0,0.0,239.0,6-1,Louisiana Tech,4/2/99,Rook,,,HebeGr00
Tarron Jackson (NWT),75.0,25.0,DE,0,0.0,254.0,6-2,Coastal Carolina,6/22/98,2,,Philadelphia Eagles / 6th / 191st pick / 2021,JackTa02
E.J. Jenkins (NWT),,25.0,TE,0,0.0,245.0,6-6,Georgia Tech,11/3/98,Rook,,,JenkEJ00
Terrell Lewis (NWT),,25.0,LB,0,0.0,262.0,6-5,Alabama,8/25/98,3,,Los Angeles Rams / 3rd / 84th pick / 2020,LewiTe00
Tristin McCollum (NWT),36.0,24.0,DB,3,0.0,195.0,6-3,Sam Houston St.,5/3/99,Rook,0.0,,McCoTr00
Tiawan Mullen (NWT),,23.0,CB,0,0.0,181.0,,Indiana,7/12/00,Rook,,,MullTi00
Joseph Ngata (NWT),86.0,22.0,WR,0,0.0,217.0,,Clemson,1/9/01,Rook,,,NgatJo01
Lew Nichols (NWT),38.0,22.0,RB,0,0.0,222.0,,Central Michigan,8/16/01,Rook,,Green Bay Packers / 7th / 235th pick / 2023,NichLe00
Jason Poe (NWT),,25.0,OL,0,0.0,300.0,6-1,Mercer,7/27/98,Rook,,,PoexJa00
Brandon Smith (NWT),47.0,22.0,LB,2,0.0,241.0,6-3,Penn St.,4/12/01,1,0.0,Carolina Panthers / 4th / 120th pick / 2022,SmitBr08
Lecitus Smith (NWT),79.0,25.0,C,0,0.0,315.0,6-3,Virginia Tech,7/13/98,1,,Arizona Cardinals / 6th / 215th pick / 2022,SmitLe01
Noah Togiai (NWT),83.0,26.0,TE,1,0.0,244.0,6-4,Oregon St.,7/6/97,3,0.0,,TogiNo00
Brett Toth (NWT),64.0,27.0,OL,0,0.0,304.0,6-6,Army,9/1/96,3,,,TothBr00
Austin Watkins (NWT),,25.0,WR,0,0.0,210.0,6-3,Dodge City (KS)Ala-Birmingham,2/16/98,Rook,,,WatkAu00
Justin Evans (IRD),30.0,28.0,S,4,4.0,199.0,6-1,Mississippi Gulf Coast CCTexas A&M,8/26/95,6,1.0,Tampa Bay Buccaneers / 2nd / 50th pick / 2017,EvanJu00
Devon Allen (IR),82.0,29.0,WR,2,0.0,190.0,6-1,Oregon,12/12/94,Rook,0.0,,AlleDe02
Shaun Bradley (IR),54.0,26.0,LB,0,0.0,240.0,6-1,Temple,4/8/97,3,,Philadelphia Eagles / 6th / 196th pick / 2020,BradSh00
Nakobe Dean (IR),17.0,23.0,LB,5,4.0,231.0,5-11,Georgia,12/13/00,1,1.0,Philadelphia Eagles / 3rd / 83rd pick / 2022,DeanNa00
Roderick Johnson (IR),66.0,28.0,T,0,0.0,301.0,6-6,Florida St.,11/28/95,5,,Cleveland Browns / 5th / 160th pick / 2017,JohnRo06
Zech McPhearson (IR),27.0,25.0,CB,0,0.0,191.0,5-11,Texas Tech,3/21/98,2,,Philadelphia Eagles / 4th / 123rd pick / 2021,McPhZe00
Albert Okwuegbunam (IR),85.0,25.0,TE,4,0.0,258.0,6-5,Missouri,4/25/98,3,0.0,Denver Broncos / 4th / 118th pick / 2020,OkwuAl00
Team Total,,26.4,,17,,239.6,6-1.6,,,3.7,,,-9999
